Year,Cynoscion guatucupa,Brachyura,Umbrina canosai,Perciformes,Pomatomus saltatrix,Cynoscion striatus,Rhodophyta,Paralichthys spp,Lutjanus purpureus,Panulirus argus,Engraulidae,Percophis brasiliensis,Acanthistius brasilianus,Arctocephalus australis,Pagrus pagrus,Total
2000,9433,11149,9221,7648,3778,13440,0,8598,6580,6469,4039,7862,4222,0,2825,95264
2001,11844,12775,17066,38,3709,10890,0,8568,6209,7139,4197,8957,4890,7,2385,98674
2002,17249,10937,17681,5,4681,8958,0,7997,6923,6807,3766,6180,3624,16,2647,97471
2003,15663,10554,15166,1417,4713,7122,0,8881,5912,6320,4398,6982,4032,37,3700,94897
2004,21859,9328,17324,341,3952,10980,0,8710,5994,8689,4676,6797,5111,30,4442,108233
2005,19386,10172,9313,0,2856,8559,0,9857,7793,6927,3353,8479,5983,36,5287,98001
2006,20447,8041,19666,0,5008,9954,0,10492,6587,6724,5181,9139,4469,24,7101,112833
2007,18720,6881,17458,0,4003,8909,0,10330,3694,6479,4374,8577,4472,66,6559,100522
2008,20905,8265,15639,0,3784,11033,0,10840,5943,6589,4445,8817,4570,61,9336,110227
2009,19594,9084,17885,0,4128,6354,0,10148,6555,7268,4902,8886,4679,82,9967,109532
2010,18774,8683,17230,0,4429,5480,0,10153,6199,6866,4627,8556,4198,80,8339,103614
2011,19296,8894,15925,0,3671,7096,0,10183,5769,6776,4306,8680,3767,53,6058,100474
2012,21292,9652,17878,0,4064,6613,0,9545,6277,7451,4686,8967,2126,55,5311,103917
2013,21634,8706,14025,0,4034,3921,0,7556,5418,6726,4044,6951,2479,55,6375,91924
2014,20731,8796,15214,0,4607,4353,0,8701,6540,6787,4882,8697,1851,106,5419,96684
2015,22598,7911,14205,0,4840,3551,0,7777,5900,6900,4400,9624,1895,183,5584,95368
2016,15687,7922,12706,0,3929,4045,0,7241,6100,7000,4400,7923,1151,138,5053,83295
2017,17798,8022,11946,0,4285,4385,0,6280,6000,7300,4400,7277,1119,166,5772,84750
2018,15138,8026,11871,0,4675,5498,0,6273,6000,7300,4400,8312,748,168,6502,84911
2019,15669,8033,11566,0,4452,6139,0,7028,6000,7300,4400,8678,1009,0,7381,87655
